category,id,sku,name,url_key,price,regular_price,image
Water Toys & Activites,1631575,6941607329160,"Bestway Disney Junior Swim Ring, 56 cm, 3-6 Y - 91004",bestway-disney-junior-swim-ring-56-cm-36-y-91004,115,115,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6941607329160_copy.jpg
Water Toys & Activites,1631572,6941607329122,"Bestway Disney Minnie Swim Ring, 56 cm, 3-6 Y - 91040",bestway-disney-minnie-swim-ring-56-cm-36-y-91040,115,115,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6941607329122_1_copy.jpg
Water Toys & Activites,1631569,6941607324950,"Bestway Swim Ring for Kids, 61 cm - 36014",bestway-swim-ring-for-kids-61-cm-36014,78,78,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6941607324950_copy.jpg
Water Toys & Activites,1631557,6941607320273,"Bestway Swim  Safe Armband, 30*15 cm, 5-12 Y - 32110",bestway-swim-safe-armband-3015-cm-512-y-32110,99,99,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6941607320273_copy.jpg
Water Toys & Activites,1553128,6942138981575,"Bestway Frosted Neon Swim Ring, 91 cm - 36025 - Assorted Color",bestway-frosted-neon-swim-ring-91-cm-36025-assorted-color,142,142,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6942138981575_copy.jpg
Water Toys & Activites,134088,6942138967142,"Bestway Water Ball, 51 cm - Assorted Color",bestway-water-ball-51-cm-assorted-color,72,72,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6942138967142_copy.jpg
Water Toys & Activites,134118,6942138967098,"Bestway Floating Armband, 20*20 cm",bestway-floating-armband-2020-cm,66,66,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6942138967098_copy.jpg
Water Toys & Activites,1553122,6941607331958,"Bestway Minnie Armband Floaters, 15*25 cm - 91038",bestway-minnie-armband-floaters-1525-cm-91038,119,119,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6941607331958_copy.jpg
Water Toys & Activites,1553110,6941607330838,"Bestway Bestway Hydro Swim Goggles, +14 Y, 21051 - Assorted Color",bestway-bestway-hydro-swim-goggles-14-y-21051-assorted-color,220,220,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6941607330838_copy.jpg
Water Toys & Activites,195741,6941607312223,"Bestway Flash & Splash Seal Ride-On, 157*114 cm",bestway-flash-and-splash-seal-rideon-157114-cm,675,675,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6941607312223_copy.jpg
Water Toys & Activites,195714,6941607310328,Bestway Flamingo Swim Ring for Kids - 61*61 cm,bestway-flamingo-swim-ring-for-kids-6161-cm,219,219,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6941607310328_1.jpg
