objectID,name,slug,barcode,sku,price,special_price,brand,brand_label,category,description,image,in_stock
Webkul\Product\Models\ProductFlat::2163352,محمود الفار عدس بجبة,محمود-الفار-عدس-بجبة-2007801000000,,2007801000000,50,,112,محمود الفار,Ramadan,محمود الفار عدس بجبة,,
Webkul\Product\Models\ProductFlat::2163204,محمود الفار عدس اصفر,محمود-الفار-عدس-اصفر-2007795000000,,2007795000000,65,,112,محمود الفار,Ramadan,محمود الفار عدس اصفر,,
Webkul\Product\Models\ProductFlat::2019043,محمود الفار طبق عنب ابيض محلى ,محمود-الفار-طبق-عنب-ابيض-محلى-2007374000000,,2007374000000,294.25,,112,محمود الفار,فواكه، خضروات و أعشاب,محمود الفار طبق عنب ابيض محلى ,,
Webkul\Product\Models\ProductFlat::314442,محمود الفار ورق عنب ,محمود-الفار-ورق-عنب1.250كم6222004117483,,6222004117483,64.95,59,112,محمود الفار,الأغذية المعلبة,محمود الفار ورق عنب ,,
Webkul\Product\Models\ProductFlat::314438,محمود الفار ورق عنب ,محمود-الفار-ورق-عنب1.250كم6222004117483,,6222004117483,64.95,59,112,محمود الفار,الأغذية المعلبة,محمود الفار ورق عنب ,,
Webkul\Product\Models\ProductFlat::1640060,محمود الفار ورق عنب ,محمود-الفار-ورق-عنب1.250كم6222004117483,,6222004117483,64.95,59,112,محمود الفار,الأغذية المعلبة,محمود الفار ورق عنب ,,
Webkul\Product\Models\ProductFlat::1047342,Mahmoud ElFar Organic Baladi Eggs 18 Eggs,محمود-الفار-بيض-بلدى-اورجانيك--18-بيضة-6224007775356,,6224007775356,103.5,,112,Mahmoud El Far,منتجات الألبان والبيض,<p>Mahmoud ELfar Organic Baladi Eggs - 18 Eggs</p>,,
Webkul\Product\Models\ProductFlat::2163186,محمود الفار عدس اصفر,محمود-الفار-عدس-اصفر-2007795000000,,2007795000000,65,,112,محمود الفار,Ramadan,محمود الفار عدس اصفر,,
Webkul\Product\Models\ProductFlat::2026036,محمود الفار طبق باذنجان عروس الأسود ,محمود-الفار-طبق-باذنجان-عروس-الأسود-2007400000000,,2007400000000,61.75,,112,محمود الفار,فواكه، خضروات و أعشاب,محمود الفار طبق باذنجان عروس الأسود ,,
Webkul\Product\Models\ProductFlat::378782,محمود الفار ورق عنب ,محمود-الفار-ورق-عنب1.250كم6222004117483,,6222004117483,64.95,59,112,محمود الفار,الأغذية المعلبة,محمود الفار ورق عنب ,,
Webkul\Product\Models\ProductFlat::2025862,محمود الفار طبق عنب بناتى ,محمود-الفار-طبق-عنب-بناتى-2007383000000,,2007383000000,94.95,,112,محمود الفار,فواكه، خضروات و أعشاب,محمود الفار طبق عنب بناتى ,,
Webkul\Product\Models\ProductFlat::2025846,محمود الفار طبق عنب بناتى ,محمود-الفار-طبق-عنب-بناتى-2007383000000,,2007383000000,94.95,,112,محمود الفار,فواكه، خضروات و أعشاب,محمود الفار طبق عنب بناتى ,,
Webkul\Product\Models\ProductFlat::2163210,محمود الفار عدس اصفر,محمود-الفار-عدس-اصفر-2007795000000,,2007795000000,65,,112,محمود الفار,Ramadan,محمود الفار عدس اصفر,,
Webkul\Product\Models\ProductFlat::2025866,محمود الفار طبق عنب بناتى ,محمود-الفار-طبق-عنب-بناتى-2007383000000,,2007383000000,94.95,,112,محمود الفار,فواكه، خضروات و أعشاب,محمود الفار طبق عنب بناتى ,,
Webkul\Product\Models\ProductFlat::1171179,Mahmoud ElFar Organic Baladi Eggs 6 Eggs,محمود-الفار-بيض-بلدى-اورجانيك-6--بيضة-6224007775325,,6224007775325,49.5,,112,Mahmoud El Far,منتجات الألبان والبيض,<p>Mahmoud ELfar Organic Baladi Eggs - 6 Eggs</p>,,
Webkul\Product\Models\ProductFlat::421112,محمود الفار ورق عنب ,محمود-الفار-ورق-عنب1.250كم6222004117483,,6222004117483,64.95,59,112,محمود الفار,الأغذية المعلبة,محمود الفار ورق عنب ,,
Webkul\Product\Models\ProductFlat::2026038,محمود الفار طبق باذنجان عروس الأسود ,محمود-الفار-طبق-باذنجان-عروس-الأسود-2007400000000,,2007400000000,61.75,,112,محمود الفار,فواكه، خضروات و أعشاب,محمود الفار طبق باذنجان عروس الأسود ,,
Webkul\Product\Models\ProductFlat::1366321,Mahmoud ElFar Organic Baladi Eggs 10 Eggs,محمود-الفار-بيض-بلدى-اورجانيك-10-بيضة-6224007775332,,6224007775332,57.5,,112,Mahmoud El Far,منتجات الألبان والبيض,<p>Mahmoud ELfar Organic Baladi Eggs - 10 Eggs</p>,,
Webkul\Product\Models\ProductFlat::2026075,محمود الفار طبق باذنجان عروس ابيض ,محمود-الفار-طبق-باذنجان-عروس-ابيض-2007401000000,,2007401000000,61.75,,112,محمود الفار,فواكه، خضروات و أعشاب,محمود الفار طبق باذنجان عروس ابيض ,,
